dateTime,artist,song
5/29/2021 13:53:00,Passion Pit,Take a Walk
5/29/2021 13:49:00,Miguel,waves - Tame Impala Remix
5/29/2021 13:45:00,The Postal Service,Such Great Heights - Remastered
5/29/2021 13:38:00,Banes World,You Say I'm in Love
5/29/2021 13:38:00,Wallice,Punching Bag
5/29/2021 13:32:00,boy pablo,"Dance, Baby!"
5/29/2021 13:32:00,Paul McCartney,The Kiss Of Venus (Dominic Fike)
5/29/2021 13:25:00,Mallrat,Groceries
5/29/2021 13:21:00,MILK.,Drama Queen
5/29/2021 13:17:00,Lorde,The Louvre
5/29/2021 13:12:00,alt-J,Taro
5/29/2021 13:08:00,Blossoms,Honey Sweet
5/29/2021 13:05:00,Phoebe Bridgers,Kyoto
5/29/2021 13:02:00,Goth Babe,Colours
5/29/2021 12:58:00,Rex Orange County,Corduroy Dreams
5/29/2021 12:55:00,Still Woozy,Kenny
5/29/2021 12:50:00,Tame Impala,Alter Ego - 2020 Mix
5/29/2021 12:46:00,Pizzagirl,Bullet Train
5/29/2021 12:43:00,Delilah Montagu,Coming For Ya
5/29/2021 12:39:00,SZA,Julia
5/29/2021 12:35:00,Frank Ocean,Lost
5/29/2021 12:33:00,3OH!3,Don't Trust Me
5/29/2021 12:30:00,Jake Bugg,Lightning Bolt
5/29/2021 12:27:00,Two Door Cinema Club,Sun
5/28/2021 17:46:00,Tame Impala,Alter Ego - 2020 Mix
5/28/2021 17:42:00,Pizzagirl,Bullet Train
5/28/2021 17:38:00,Delilah Montagu,Coming For Ya
5/28/2021 17:35:00,SZA,Julia
5/28/2021 17:31:00,Frank Ocean,Lost
5/28/2021 17:27:00,Bakar,Hell N Back
5/28/2021 17:24:00,Cage the Elephant,Cigarette Daydreams
5/28/2021 17:19:00,Local Natives,When Am I Gonna Lose You
5/28/2021 17:15:00,The Japanese House,Saw You in a Dream
5/28/2021 17:12:00,Self Esteem,I Do This All The Time
5/28/2021 17:08:00,Peach Pit,Shampoo Bottles
5/28/2021 17:06:00,Sigrid,Mirror
5/28/2021 17:02:00,Olivia Rodrigo,deja vu
5/28/2021 17:00:00,Seb,seaside_demo
5/28/2021 16:56:00,Hippo Campus,Way It Goes
5/28/2021 16:52:00,Arcade Fire,The Suburbs
5/28/2021 16:48:00,Still Woozy,Goodie Bag
5/28/2021 16:44:00,dad sports,dog cuddles
5/28/2021 0:31:00,The 1975,Me
5/28/2021 0:28:00,Ashe,Till Forever Falls Apart
5/28/2021 0:25:00,Aidan Bissett,More Than Friends
5/28/2021 0:21:00,The Neighbourhood,Softcore
5/28/2021 0:18:00,The Drums,I Don't Know How To Love
5/28/2021 0:15:00,Joy Division,Love Will Tear Us Apart
5/28/2021 0:12:00,Michelle,THE BOTTOM
5/28/2021 0:09:00,Joy Again,Looking Out For You
5/28/2021 0:05:00,Yot Club,YKWIM?
5/28/2021 0:01:00,Noah Kittinger,All I Know
5/27/2021 23:54:00,Charli XCX,Spinning (with Charli XCX & The 1975) (A. G. Cook Remix)
5/27/2021 23:47:00,Pixies,Where Is My Mind?
5/27/2021 23:44:00,Geskle,So She Goes
5/27/2021 23:41:00,peach tinted,The Unknown
5/27/2021 20:05:00,dad sports,dog cuddles
5/27/2021 20:05:00,Lord Huron,Love Me Like You Used To
5/27/2021 20:02:00,Still Woozy,Cooks
5/27/2021 20:02:00,dad sports,dog cuddles
5/27/2021 12:20:00,jagger finn,please
5/27/2021 12:20:00,Cigarettes After Sex,Falling in Love
5/27/2021 12:16:00,Cigarettes After Sex,Falling in Love
5/26/2021 12:57:00,Still Woozy,Lava
5/26/2021 12:55:00,Still Woozy,Lava
5/26/2021 12:15:00,Still Woozy,BS
5/26/2021 12:13:00,Still Woozy,Lucy
5/26/2021 12:10:00,Still Woozy,Rocky
5/26/2021 12:07:00,Still Woozy,Cooks
5/26/2021 12:04:00,Still Woozy,Kenny
5/26/2021 12:01:00,Still Woozy,Window
5/26/2021 11:59:00,Still Woozy,Habit
5/26/2021 11:56:00,Still Woozy,Goodie Bag
5/26/2021 11:49:00,Still Woozy,Foolsong
5/26/2021 11:46:00,Still Woozy,Vacation
5/26/2021 11:42:00,Coin,Talk Too Much
5/26/2021 11:38:00,Still Woozy,Rocky
5/22/2021 14:13:00,Young the Giant,Silvertongue
5/22/2021 14:10:00,Two Door Cinema Club,Sun
5/22/2021 14:06:00,lovelytheband,make you feel pretty
5/22/2021 14:03:00,Cold War Kids,First
5/22/2021 14:03:00,Rainbow Kitten Surprise,Cocaine Jesus
5/22/2021 13:59:00,Rainbow Kitten Surprise,Cocaine Jesus
5/22/2021 13:55:00,Broken Bells,The High Road
5/22/2021 13:51:00,Coast Modern,The Way It Was
5/22/2021 13:47:00,half•alive,arrow
5/22/2021 13:45:00,The Buttertones,Orpheus Under the Influence
5/22/2021 13:42:00,The Jokes,Goldmine
5/22/2021 13:38:00,Glass Animals,Youth
5/22/2021 13:35:00,Dayglow,Moving Out
5/22/2021 13:31:00,alt-J,Lovely Day - Bonus Track
5/22/2021 13:26:00,Tash Sultana,Jungle
5/22/2021 13:23:00,Still Woozy,Goodie Bag
5/22/2021 13:21:00,OneRepublic,Rescue Me
5/22/2021 13:17:00,Blood Orange,Sutphin Boulevard
5/22/2021 13:13:00,alt-J,Choice Kingdom
5/21/2021 21:26:00,Dayglow,Like Ivy
5/21/2021 17:24:00,boy pablo,rest up
5/21/2021 17:19:00,Foster the People,Lotus Eater
5/21/2021 17:16:00,Still Woozy,Cooks
5/21/2021 17:13:00,alt-J,Tessellate
5/21/2021 17:08:00,The Difference,Always Something
5/21/2021 17:05:00,Foster the People,Lotus Eater
5/21/2021 17:01:00,Arctic Monkeys,Arabella
5/21/2021 16:58:00,The Neighbourhood,Leaving Tonight
5/21/2021 16:53:00,Paramore,Ain't It Fun
5/21/2021 16:49:00,Dayglow,Moving Out
5/21/2021 16:46:00,Dayglow,Close to You
5/21/2021 16:46:00,Dayglow,Medicine
5/21/2021 16:42:00,Dayglow,Medicine
5/21/2021 16:24:00,Dayglow,Moving Out
5/21/2021 16:06:00,Dayglow,Close to You
5/21/2021 16:06:00,Dayglow,Crying on the Dancefloor
5/21/2021 16:02:00,Dayglow,Close to You
5/21/2021 12:34:00,Dayglow,Something
5/21/2021 10:29:00,Still Woozy,Cooks
5/21/2021 10:13:00,Still Woozy,Rocky
5/21/2021 10:10:00,Still Woozy,Kenny
5/21/2021 10:07:00,Still Woozy,Habit
5/21/2021 10:07:00,Still Woozy,Window
5/21/2021 10:05:00,Still Woozy,Habit
5/21/2021 10:03:00,Still Woozy,Goodie Bag
5/20/2021 16:01:00,Cage the Elephant,Cigarette Daydreams
5/20/2021 15:58:00,The Brobecks,Love at First Sight
5/20/2021 15:58:00,Arctic Monkeys,No. 1 Party Anthem
5/20/2021 15:54:00,Arctic Monkeys,No. 1 Party Anthem
5/20/2021 15:49:00,Vampire Weekend,Obvious Bicycle
5/20/2021 15:46:00,Coast Modern,The Way It Was
5/20/2021 15:43:00,Two Door Cinema Club,Undercover Martyn
5/20/2021 15:39:00,Brantwood,2+2
5/20/2021 15:05:00,Foals,Mountain At My Gates
5/20/2021 15:01:00,half•alive,still feel.
5/20/2021 14:57:00,Editors,An End Has A Start
5/20/2021 14:53:00,Dope Lemon,Marinade
5/20/2021 14:49:00,alt-J,Warm Foothills
5/20/2021 14:47:00,The Neighbourhood,Baby Came Home
5/20/2021 14:47:00,Ginger Root,Ohio
5/20/2021 14:43:00,The Neighbourhood,Baby Came Home
5/20/2021 14:39:00,BØRNS,Electric Love
5/20/2021 14:35:00,Glass Animals,Poplar St
5/20/2021 14:32:00,The Kooks,Junk of the Heart (Happy)
5/20/2021 14:29:00,alt-J,Left Hand Free
5/20/2021 14:29:00,Saint Motel,For Elise
5/20/2021 14:25:00,Saint Motel,For Elise
5/20/2021 14:22:00,Petite League,RASPBERRY SEEDS
5/20/2021 14:20:00,Rainbow Kitten Surprise,It's Called: Freefall
5/20/2021 14:15:00,Peter Bjorn and John,Young Folks
5/20/2021 14:11:00,Arctic Monkeys,505
5/20/2021 14:07:00,Starfucker,Kahlil Gibran
5/20/2021 14:03:00,NoMBe,Summer's Gone
5/20/2021 14:00:00,half•alive,aawake at night
5/20/2021 13:57:00,alt-J,Tessellate
5/20/2021 13:57:00,Foals,Exits
5/20/2021 13:51:00,Foals,Exits
5/20/2021 13:47:00,BØRNS,The Emotion
5/20/2021 13:45:00,sisyfuss,on the outside
5/20/2021 13:43:00,Brick+Mortar,Other Drugs
5/20/2021 13:39:00,Daughter,Smother
5/20/2021 13:27:00,The Neighbourhood,Daddy Issues
5/20/2021 10:56:00,BADBADNOTGOOD,Time Moves Slow
5/20/2021 10:53:00,Arctic Monkeys,Snap Out of It
5/20/2021 10:50:00,Jungle,Happy Man
5/19/2021 23:02:00,Mr. Carter Davis,Storms
5/19/2021 22:58:00,Alex Turner,Glass in the Park
5/19/2021 22:56:00,Beach Bunny,Prom Queen
5/19/2021 22:52:00,Pinegrove,Old Friends
5/19/2021 22:48:00,Death Cab for Cutie,Grapevine Fires
5/19/2021 22:45:00,Dr. Dog,Nellie
5/19/2021 22:41:00,Cults,Bad Things
5/19/2021 22:37:00,Sylvan Esso,Die Young
5/19/2021 22:34:00,Matt Maltese,Strange Time
5/19/2021 22:32:00,"Dream, Ivory",welcome and goodbye
5/19/2021 22:28:00,Beirut,Postcards From Italy
5/19/2021 22:24:00,José González,Vissel
5/19/2021 22:22:00,Vampire Weekend,Diane Young
5/19/2021 22:17:00,Ezra Furman,The Queen of Hearts
5/19/2021 22:12:00,Cigarettes After Sex,K.
5/19/2021 18:57:00,The Jokes,Goldmine
5/19/2021 18:52:00,Carter Vail,Melatonin
5/19/2021 18:47:00,Athlete,Chances
5/19/2021 18:44:00,The Supernaturals,Smile
5/19/2021 18:40:00,alt-J,Deadcrush
5/19/2021 18:37:00,Still Woozy,Habit
5/19/2021 18:34:00,Still Woozy,Cooks
5/19/2021 18:32:00,Still Woozy,Lucy
5/19/2021 18:29:00,Still Woozy,Goodie Bag
5/19/2021 18:27:00,Still Woozy,Ipanema
5/19/2021 18:24:00,Still Woozy,Kenny
5/19/2021 18:21:00,Still Woozy,wolfcat
5/19/2021 18:19:00,Still Woozy,BS
5/19/2021 18:16:00,Still Woozy,Rocky
5/19/2021 18:14:00,Still Woozy,Habit
5/19/2021 18:11:00,Still Woozy,BS
5/19/2021 18:07:00,Still Woozy,Vacation
5/19/2021 18:05:00,Still Woozy,Rocky
5/19/2021 18:01:00,Foster the People,Imagination
5/19/2021 17:55:00,David Bowie,Heroes - 2017 Remaster
5/19/2021 17:51:00,The Driver Era,LOW
5/19/2021 17:48:00,Peach Pit,Alrighty Aphrodite
5/19/2021 17:45:00,Easha,Dying Is a Beautiful Thing to Do
5/19/2021 17:43:00,pinkpantheress,Pain
5/19/2021 17:22:00,6LACK,Free
5/19/2021 17:17:00,Jaden,Summertime in Paris
5/19/2021 17:15:00,Panic! at the Disco,"Hey Look Ma, I Made It"
5/19/2021 17:12:00,Still Woozy,wolfcat
5/19/2021 17:09:00,Still Woozy,Lucy
5/19/2021 17:07:00,Still Woozy,Goodie Bag
5/19/2021 17:05:00,Still Woozy,Window
5/19/2021 17:02:00,Still Woozy,Habit
5/19/2021 16:59:00,Still Woozy,Habit
5/19/2021 16:57:00,Still Woozy,Lava
5/18/2021 19:56:00,Absofacto,Dissolve
5/18/2021 19:53:00,Bishop Briggs,River
5/18/2021 19:50:00,Seafret,Explosion
5/18/2021 19:47:00,The Beach Boys,California Girls - Remix/Remastered 2001
5/18/2021 19:44:00,The Academic,Bear Claws
5/18/2021 19:40:00,Cage the Elephant,Social Cues
5/18/2021 19:37:00,Sure Sure,This Must Be the Place
5/18/2021 19:34:00,Labrinth,Mount Everest
5/18/2021 19:29:00,Zak Abel,Love Song
5/18/2021 19:20:00,The Neighbourhood,Baby Came Home
5/18/2021 19:16:00,The Neighbourhood,Scary Love
5/18/2021 19:11:00,alt-J,Nara
5/18/2021 19:06:00,alt-J,Hunger of the Pine
5/18/2021 19:01:00,alt-J,3WW
5/18/2021 18:58:00,The Neighbourhood,Middle of Somewhere
5/18/2021 18:54:00,Jeremy Zucker,you were good to me
5/18/2021 18:50:00,FINNEAS,Break My Heart Again
5/18/2021 18:46:00,The 1975,Robbers
5/18/2021 18:41:00,Daniel Caesar,Won't Live Here
5/18/2021 18:36:00,Arctic Monkeys,505
5/18/2021 18:31:00,The Strokes,The Adults Are Talking
5/18/2021 16:52:00,A-wall,Loverboy
5/18/2021 16:47:00,Foster the People,Best Friend
5/18/2021 16:43:00,Niall Horan,Still
5/18/2021 16:37:00,Bedroom,In My Head
5/18/2021 16:34:00,Ricky Montgomery,Mr Loverman
5/18/2021 16:30:00,Bickle,Naked
5/18/2021 16:16:00,"Tyler, The Creator",See You Again (feat. Kali Uchis)
5/18/2021 16:13:00,Role Model,going out
5/18/2021 16:09:00,Grouplove,Tongue Tied
5/18/2021 16:07:00,Harry Styles,Golden
5/18/2021 16:05:00,Duckwrth,Crush
5/18/2021 16:01:00,The Neighbourhood,Leaving Tonight
5/18/2021 15:56:00,Dayglow,Can I Call You Tonight?
5/18/2021 15:52:00,The 1975,Girls
5/18/2021 15:49:00,Role Model,going out
5/18/2021 15:45:00,Harry Styles,Golden
5/18/2021 15:43:00,Wallows,Scrawny
5/18/2021 15:40:00,boy pablo,"Dance, Baby!"
5/18/2021 14:11:00,Cigarettes After Sex,Heavenly
5/18/2021 14:06:00,Cigarettes After Sex,Sesame Syrup
5/18/2021 14:02:00,Cigarettes After Sex,Kiss It Off Me
5/18/2021 13:58:00,Cigarettes After Sex,Truly
5/18/2021 13:54:00,Cigarettes After Sex,Keep On Loving You
5/18/2021 13:48:00,Cigarettes After Sex,Dreaming of You
5/18/2021 12:43:00,Cigarettes After Sex,K.
5/17/2021 21:24:00,Men I Trust,"Say, Can You Hear"
5/17/2021 21:20:00,Foster the People,Lotus Eater
5/17/2021 21:01:00,The Neighbourhood,Reflections
5/17/2021 20:52:00,The Neighbourhood,Reflections
5/17/2021 20:45:00,The Neighbourhood,Reflections
5/17/2021 20:40:00,The Neighbourhood,Reflections
5/17/2021 20:36:00,The Neighbourhood,Greetings from Califournia
5/17/2021 20:33:00,The Neighbourhood,Silver Lining
5/17/2021 20:29:00,The Neighbourhood,The Beach
5/17/2021 20:25:00,The Neighbourhood,The Shining
5/17/2021 20:21:00,The Neighbourhood,Afraid - Spotify Sessions Curated by Jim Eno
5/17/2021 20:17:00,The Neighbourhood,W.D.Y.W.F.M?
5/17/2021 20:13:00,The Neighbourhood,A Little Death
5/17/2021 20:10:00,The Neighbourhood,Wires
5/17/2021 20:05:00,The Neighbourhood,Alleyways
5/17/2021 20:01:00,The Neighbourhood,Tobacco Sunburst
5/17/2021 19:57:00,The Neighbourhood,Leaving Tonight
5/17/2021 19:51:00,Cigarettes After Sex,Touch
5/17/2021 19:46:00,Cigarettes After Sex,Heavenly
5/17/2021 19:42:00,Cigarettes After Sex,Crush
5/17/2021 19:36:00,The Neighbourhood,Float
5/17/2021 19:31:00,Cigarettes After Sex,K.
5/17/2021 19:27:00,The Neighbourhood,Daddy Issues
5/17/2021 19:22:00,Arctic Monkeys,Arabella
5/17/2021 19:19:00,Harry Styles,Kiwi
5/17/2021 19:15:00,The Weeknd,Repeat After Me (Interlude)
5/17/2021 19:12:00,The Weeknd,Save Your Tears
5/17/2021 19:08:00,The Weeknd,Blinding Lights
5/17/2021 19:02:00,The Weeknd,After Hours
5/17/2021 19:00:00,Retirement Party,Passion Fruit Tea
5/17/2021 18:57:00,The Difference,Always Something
5/17/2021 18:53:00,SWMRS,Lose It
5/17/2021 18:51:00,Still Woozy,BS
5/17/2021 18:48:00,Still Woozy,Cooks
5/17/2021 18:28:00,Her's,Harvey
5/17/2021 18:24:00,MCCAFFERTY,Its Not That Easy but You're That Easy
5/17/2021 18:21:00,The Front Bottoms,Mountain
5/17/2021 18:19:00,Kevin Abstract,Peach
5/17/2021 18:16:00,Still Woozy,wolfcat
5/17/2021 18:12:00,Gus Dapperton,"Prune, You Talk Funny"
5/17/2021 18:10:00,Jawny,Anything You Want
5/17/2021 18:07:00,Peach Pit,Alrighty Aphrodite
5/17/2021 18:03:00,The Marías,Clueless
5/17/2021 18:01:00,Still Woozy,Goodie Bag
5/17/2021 17:58:00,SALES,big sis
5/17/2021 17:54:00,Gus Dapperton,I'm Just Snacking
5/17/2021 17:53:00,Good Morning,$10
5/17/2021 17:50:00,Omar Apollo,Hit Me Up
5/17/2021 17:48:00,Still Woozy,BS
5/16/2021 21:26:00,Declan McKenna,Make Me Your Queen
5/16/2021 21:22:00,Ashe,Till Forever Falls Apart
5/16/2021 21:19:00,Role Model,hello!
5/16/2021 21:16:00,Wallows,Scrawny
5/16/2021 21:12:00,The Driver Era,Preacher Man
5/16/2021 21:09:00,The Driver Era,Afterglow
5/16/2021 21:06:00,The Driver Era,Natural
5/16/2021 21:03:00,The Driver Era,Giveuwhatuwant
5/16/2021 21:00:00,The Driver Era,Welcome to the End of Your Life
5/16/2021 20:56:00,The Driver Era,A Kiss
5/16/2021 20:52:00,The Driver Era,San Francisco
5/16/2021 20:49:00,Kendrick Lamar,ELEMENT.
5/16/2021 20:45:00,Au/Ra,Panic Room
5/16/2021 20:42:00,Arctic Monkeys,I Wanna Be Yours
5/16/2021 20:39:00,The Neighbourhood,Leaving Tonight
5/16/2021 20:35:00,Frank Ocean,Lost
5/16/2021 20:30:00,Miguel,waves - Tame Impala Remix
5/16/2021 20:26:00,Swiss Portrait,Cassette
5/16/2021 20:22:00,boy pablo,rest up
5/16/2021 20:19:00,Men I Trust,"Say, Can You Hear"
5/16/2021 20:17:00,pinkpantheress,Just a waste
5/16/2021 20:16:00,pinkpantheress,Attracted to you
5/16/2021 20:12:00,Taylor Swift,cardigan
5/16/2021 20:08:00,Travis Scott,Maria I'm Drunk (feat. Justin Bieber & Young Thug)
5/16/2021 20:06:00,Eyedress,X-Girl
5/16/2021 20:02:00,TEEN BLUSH,Bite My Lip
5/16/2021 19:59:00,TV Girl,Lovers Rock
5/16/2021 19:54:00,alt-J,Arrival in Nara
5/16/2021 19:50:00,Glass Animals,Poplar St
5/16/2021 19:47:00,Cage the Elephant,Cigarette Daydreams
5/16/2021 19:44:00,Foster the People,Lotus Eater
5/16/2021 19:41:00,Still Woozy,Cooks
5/16/2021 19:38:00,alt-J,Tessellate
5/16/2021 13:58:00,Still Woozy,Window
5/16/2021 13:55:00,Still Woozy,BS
5/16/2021 13:53:00,Still Woozy,wolfcat
5/16/2021 13:50:00,Still Woozy,Habit
5/16/2021 13:09:00,Still Woozy,Lava
5/16/2021 13:07:00,Still Woozy,BS
5/15/2021 21:23:00,Thundercat,Fair Chance
5/15/2021 21:21:00,Thundercat,The Life Aquatic
5/15/2021 21:18:00,Thundercat,King of the Hill
5/15/2021 21:15:00,Thundercat,Dragonball Durag
5/15/2021 21:11:00,Thundercat,Boat Cruise
5/15/2021 21:09:00,Thundercat,Funny Thing
5/15/2021 21:07:00,Still Woozy,Rocky
5/15/2021 21:04:00,Mac DeMarco,Freaking Out the Neighborhood
5/15/2021 21:01:00,Mac DeMarco,Chamber of Reflection
5/15/2021 20:57:00,Mac DeMarco,My Kind of Woman
5/15/2021 20:53:00,Rex Orange County,Pluto Projector
5/15/2021 20:49:00,Harry Styles,Adore You
5/15/2021 20:46:00,Harry Styles,Two Ghosts
5/15/2021 20:41:00,Stratobeat,often x sweater weather
5/15/2021 20:37:00,Dayglow,Close to You
5/15/2021 20:34:00,Cigarettes After Sex,Starry Eyes
5/15/2021 20:29:00,Cigarettes After Sex,Dreaming of You
5/15/2021 20:25:00,Cigarettes After Sex,I'm a Firefighter
5/15/2021 20:20:00,Cigarettes After Sex,Nothing's Gonna Hurt You Baby
5/15/2021 20:14:00,Cigarettes After Sex,K.
5/15/2021 20:10:00,Cigarettes After Sex,Apocalypse
5/15/2021 20:06:00,Vampire Weekend,Don't Lie
5/15/2021 20:02:00,Vampire Weekend,Hudson
5/15/2021 19:58:00,Vampire Weekend,Step
5/15/2021 19:55:00,Vampire Weekend,Diane Young
5/15/2021 19:52:00,Vampire Weekend,Everlasting Arms
5/15/2021 19:48:00,Vampire Weekend,Obvious Bicycle
5/15/2021 19:43:00,Portugal. The Man,Modern Jesus
5/15/2021 19:40:00,Hobo Johnson,Uglykid (feat. Elohim)
5/15/2021 19:37:00,half•alive,Rest (with Samm Henshaw)
5/15/2021 19:33:00,Bon Iver,Skinny Love
5/15/2021 19:30:00,Colony House,Silhouettes
5/15/2021 19:26:00,alt-J,Warm Foothills
5/15/2021 19:23:00,Arctic Monkeys,I Wanna Be Yours
5/15/2021 19:19:00,Local Natives,Coins
5/15/2021 19:15:00,Lewis Del Mar,Loud(y)
5/15/2021 19:11:00,Young the Giant,Superposition
5/15/2021 19:08:00,Rainbow Kitten Surprise,It's Called: Freefall
5/15/2021 19:04:00,Palace,Bitter
5/15/2021 19:01:00,alt-J,Deadcrush
5/15/2021 18:57:00,Wallows,OK
5/15/2021 18:54:00,Wallows,Are You Bored Yet? (feat. Clairo)
5/15/2021 18:51:00,Wallows,Pleaser
5/15/2021 18:49:00,Frank Ocean,In My Room
5/15/2021 18:45:00,Frank Ocean,White Ferrari
5/15/2021 18:35:00,Frank Ocean,Pyramids
5/15/2021 18:33:00,Frank Ocean,In My Room
5/15/2021 18:30:00,Frank Ocean,Pink + White
5/15/2021 18:26:00,Frank Ocean,Chanel
7/18/2021 21:15:00,Beach House,Space Song
7/18/2021 21:11:00,Wallows,Drunk on Halloween
7/18/2021 21:05:00,Beach House,Space Song
7/18/2021 21:01:00,Wallows,Drunk on Halloween
7/18/2021 20:57:00,Fitz and the Tantrums,Out of My League
7/18/2021 20:55:00,dad sports,dog cuddles
7/18/2021 20:53:00,jagger finn,vas
7/18/2021 20:49:00,Matt Maltese,Even If It's a Lie - Demo
7/18/2021 20:46:00,Jontha Links,Duracell
7/18/2021 20:44:00,Lowertown,New Song
7/18/2021 20:39:00,Cavetown,Talk To Me
7/18/2021 20:35:00,Geskle,So She Goes
7/18/2021 20:31:00,Rainbow Kitten Surprise,Cocaine Jesus
7/18/2021 20:25:00,Coin,Malibu 1992
7/18/2021 20:23:00,alt-J,Left Hand Free
7/18/2021 20:20:00,Aidan Bissett,More Than Friends
7/18/2021 20:18:00,Boy Willows,Fila
7/18/2021 20:14:00,Saint Motel,For Elise
7/18/2021 20:10:00,boy pablo,I <3 U
7/18/2021 20:07:00,Still Woozy,Goodie Bag
7/18/2021 20:04:00,Wallows,Treacherous Doctor - Live from Henson Studios
7/18/2021 16:26:00,jelani aryeh,Stella Brown
7/18/2021 16:22:00,boy pablo,I <3 U
7/18/2021 16:18:00,Noah and the Whale,5 Years Time
5/14/2021 15:12:00,Still Woozy,Goodie Bag
5/14/2021 15:09:00,Still Woozy,Maybe She
5/14/2021 15:07:00,Still Woozy,Window
5/14/2021 15:05:00,Still Woozy,BS
5/14/2021 15:02:00,Still Woozy,Ipanema
5/14/2021 15:00:00,Still Woozy,Habit
5/14/2021 14:57:00,Still Woozy,Window
5/14/2021 12:50:00,Coldplay,Clocks
5/14/2021 12:46:00,Strawberry Guy,Taking My Time to Be
5/14/2021 12:43:00,Strawberry Guy,Mrs Magic
5/13/2021 23:05:00,Cigarettes After Sex,Keep On Loving You
5/13/2021 23:00:00,alt-J,House of the Rising Sun
5/13/2021 22:58:00,The Kooks,Naïve
5/13/2021 22:54:00,Glass Animals,Tangerine
5/13/2021 22:51:00,Pixies,Monkey Gone to Heaven
5/13/2021 22:48:00,Pixies,Here Comes Your Man
5/13/2021 22:46:00,Pixies,Where Is My Mind? - Remastered
5/13/2021 22:01:00,The Living Tombstone,My Ordinary Life
5/13/2021 16:00:00,LoveJoy,Cause for Concern
5/12/2021 14:36:00,Pixies,Where Is My Mind?
5/11/2021 21:31:00,The Blue Notes,Where is my Mind? - Piano Rendition
5/9/2021 16:16:00,Local Natives,Dark Days
5/9/2021 16:12:00,Unknown Mortal Orchestra,So Good at Being in Trouble
5/9/2021 16:08:00,Dr. Dog,The Breeze
5/9/2021 16:05:00,Bombay Bicycle Club,"Eat, Sleep, Wake (Nothing But You)"
5/9/2021 16:03:00,The Kooks,Seaside
5/9/2021 15:59:00,Sylvan Esso,Funeral Singers
5/9/2021 15:55:00,Milky Chance,Flashed Junk Mind
5/9/2021 15:53:00,Glass Animals,Space Ghost Coast To Coast
5/9/2021 15:49:00,alt-J,Breezeblocks
5/9/2021 15:46:00,Portugal. The Man,Tidal Wave
5/9/2021 15:43:00,Two Door Cinema Club,Undercover Martyn
5/9/2021 13:28:00,Cavetown,Boys Will Be Bugs
5/9/2021 13:25:00,Absofacto,Someone Else’s Dream
5/9/2021 13:21:00,Hippo Campus,Buttercup
5/9/2021 13:17:00,Coin,Talk Too Much
5/9/2021 13:17:00,Declan McKenna,Why Do You Feel So Down
5/9/2021 13:14:00,Coin,Talk Too Much
5/9/2021 13:11:00,Peach Pit,Being so Normal
5/9/2021 13:08:00,Hippo Campus,Bambi
5/9/2021 13:05:00,Coin,I Want It All
5/9/2021 13:02:00,lovelytheband,these are my friends
5/9/2021 12:59:00,half•alive,What's Wrong
5/9/2021 12:55:00,Peach Pit,Black Licorice
5/9/2021 12:52:00,The Happy Fits,"So Alright, Cool, Whatever"
5/9/2021 10:50:00,half•alive,aawake at night
5/9/2021 10:46:00,Wallows,Drunk on Halloween
5/8/2021 21:23:00,Dominic Fike,Vampire
5/8/2021 21:21:00,Odie,North Face
5/8/2021 21:17:00,The Neighbourhood,Devil's Advocate
5/8/2021 21:14:00,Dayglow,Close to You
5/8/2021 21:11:00,Surf Curse,Disco
5/8/2021 21:08:00,Wallows,These Days
5/8/2021 21:04:00,boy pablo,"Dance, Baby!"
5/8/2021 21:00:00,The Neighbourhood,Daddy Issues
5/8/2021 20:56:00,Tame Impala,Borderline
5/8/2021 20:53:00,Role Model,girl in new york
5/8/2021 20:50:00,Beach Fossils,Down the Line
5/8/2021 20:46:00,Between Friends,affection
5/8/2021 20:43:00,Kali Uchis,telepatía
5/8/2021 20:41:00,Duckwrth,Crush
5/8/2021 20:38:00,Tipling Rock,Staring
5/8/2021 20:35:00,Clairo,4EVER
5/8/2021 20:33:00,Thundercat,Funny Thing
5/8/2021 20:30:00,Jack Stauber,Oh Klahoma
5/8/2021 20:26:00,The Plums,Parking Lots
5/8/2021 20:23:00,Dayglow,Run the World!!!
5/8/2021 20:20:00,Ashe,Till Forever Falls Apart
5/8/2021 20:16:00,Brent Faiyaz,Dead Man Walking
5/8/2021 20:12:00,SALES,pope is a rockstar
5/8/2021 20:09:00,Jeremy Zucker,Supercuts
5/8/2021 20:07:00,Molchat Doma,Судно (Борис Рижий)
5/8/2021 20:04:00,Role Model,that's just how it goes
5/8/2021 20:01:00,Wallows,Scrawny
5/8/2021 19:59:00,Steve Lacy,Some
5/8/2021 19:55:00,Kyle Lux,Rollin' Stone
5/8/2021 19:50:00,The Backseat Lovers,Kilby Girl
5/8/2021 19:47:00,Serena Isioma,Sensitive
5/8/2021 19:41:00,Bedroom,In My Head
5/8/2021 19:39:00,Eyedress,Jealous
5/8/2021 19:36:00,Role Model,hello!
5/8/2021 19:33:00,VACATIONS,Young
5/8/2021 19:30:00,Wallows,Are You Bored Yet? (feat. Clairo)
5/8/2021 19:28:00,pinkpantheress,Break It Off
5/8/2021 19:26:00,"Dream, Ivory",welcome and goodbye
5/8/2021 19:23:00,Still Woozy,Rocky
5/8/2021 19:21:00,Dominic Fike,Why
5/8/2021 19:18:00,FINNEAS,Claudia
5/8/2021 19:15:00,Soccer Mommy,Your Dog
5/8/2021 19:11:00,VACATIONS,Telephones
