dateTime,artist,song
7/3/2021 13:58:00,Arctic Monkeys,Why'd You Only Call Me When You're High?
7/3/2021 13:55:00,Joy Again,Looking Out For You
7/3/2021 13:51:00,Cage the Elephant,Cigarette Daydreams
7/3/2021 13:51:00,Wallows,Remember When
7/3/2021 13:49:00,Still Woozy,Goodie Bag
7/3/2021 13:49:00,Wallows,Remember When
7/3/2021 13:46:00,Still Woozy,Goodie Bag
7/3/2021 13:42:00,Wallows,Drunk on Halloween
7/3/2021 13:38:00,Daniel Caesar,Japanese Denim
7/3/2021 13:34:00,Geskle,So She Goes
7/3/2021 13:30:00,Sarah Kinsley,The King
7/3/2021 13:27:00,Role Model,better the first time
7/3/2021 13:23:00,The Neighbourhood,The Beach
7/3/2021 13:21:00,Surf Curse,Freaks
7/3/2021 13:15:00,fun.,Why Am I the One
7/3/2021 13:12:00,Role Model,girl in new york
7/3/2021 13:09:00,Jontha Links,Duracell
7/3/2021 13:04:00,The Backseat Lovers,Kilby Girl
7/3/2021 13:01:00,alt-J,Left Hand Free
7/3/2021 12:54:00,Tame Impala,One More Hour
7/2/2021 4:35:00,Ivy Mono,Festival Grrrl
7/2/2021 4:28:00,Cage the Elephant,Cigarette Daydreams
6/30/2021 15:45:00,Arctic Monkeys,Why'd You Only Call Me When You're High?
6/30/2021 15:42:00,Joy Again,Looking Out For You
6/30/2021 15:37:00,Tame Impala,It Might Be Time
6/30/2021 15:34:00,Carwash,striptease
6/30/2021 15:32:00,Wallows,Treacherous Doctor - Live from Henson Studios
6/30/2021 15:28:00,I Monster,Daydream In Blue
6/30/2021 15:23:00,The Backseat Lovers,Kilby Girl
6/30/2021 15:20:00,Aidan Bissett,More Than Friends
6/30/2021 15:17:00,Mac DeMarco,My Kind of Woman
6/30/2021 15:15:00,Eyedress,Jealous
6/30/2021 15:11:00,Wallows,Drunk on Halloween
6/30/2021 14:57:00,Tame Impala,One More Hour
6/30/2021 14:54:00,SAFARIO,Pressure Love
